תאריך,סוג פעולה,שם נייר,מס' נייר / סימבול,כמות,שער ביצוע,מטבע,עמלת פעולה,עמלות נלוות,תמורה במט"ח,תמורה בשקלים,יתרה שקלית,אומדן מס רווחי הון
03/02/2026,קניה חול מטח,NFLX US,,12,25.5,$,1,0,-306,-1100,5000,0
04/02/2026,מכירה חול מטח,NFLX US,,12,30,$,1,0,360,1300,6300,50
05/02/2026,קניה רצף,מניה ישראלית א,1234567,30,40,₪,2,0,-1200,-1200,5100,0
06/02/2026,מכירה רצף,מניה ישראלית א,1234567,30,45,₪,2,0,1350,1350,6450,20
07/02/2026,קניה שח,מניה ישראלית ב,7654321,15,80,₪,2,0,-1200,-1200,5250,0
08/02/2026,מכירה שח,מניה ישראלית ב,7654321,15,88,₪,2,0,1320,1320,6570,30
09/02/2026,משיכה,,,1000,1,₪,0,0,-1000,-1000,5570,0
10/02/2026,הפקדה,,,2000,1,₪,0,0,2000,2000,7570,0
11/02/2026,דיבדנד,NFLX US,,0,0,$,0,0,12,43,7613,0
12/02/2026,ריבית מזומן בשח,,,0,0,₪,0,0,3,3,7616,0
13/02/2026,העברה מזומן בשח,,,0,0,₪,0,0,5,5,7621,0
